keypoints,calibrated_keypoints,id,is_bad
"[None None None None None None None None None None None None None None
 None array([116.85375094, 178.82987935]) None None None None None None
 None None None None None None None None
 array([411.98319384, 311.60608981]) None
 array([433.80287173, 343.98833225]) None
 array([324.57310572, 290.19019889]) None
 array([368.16132773, 377.57882845]) None
 array([433.60276153, 326.86345753]) None
 array([116.70231353, 280.33609753]) array([116.95625462, 412.16782776])
 array([116.86127629, 337.064412  ]) None None None None None None None
 None None None None None None None]","[None None None None None None None None None None None None None None
 None array([116.85375094, 178.82987935]) None None None None None None
 None None None None None None None None
 array([411.98319384, 311.60608981]) None
 array([433.80287173, 343.98833225]) None
 array([324.57310572, 290.19019889]) None
 array([368.16132773, 377.57882845]) None
 array([433.60276153, 326.86345753]) None
 array([116.70231353, 280.33609753]) array([116.95625462, 412.16782776])
 array([116.86127629, 337.064412  ]) None None None None None None None
 None None None None None None None]",187,False
"[None None None None None None None None None None None None None None
 None array([641.10713709, 190.75865587]) None None None None None None
 None None None None None None None None None
 array([324.9281676, 338.5757242]) None
 array([301.86283946, 374.22456002]) array([866.66495   , 321.25938324])
 array([419.26946269, 314.14073008]) array([912.88305778, 422.13199617])
 array([373.44067847, 409.42756182]) None
 array([301.68807399, 355.54887788]) array([639.33037698, 301.37773476])
 array([637.08440513, 441.20940726]) array([638.35551521, 362.07170368])
 None None None None None None None None None None None None None None]","[None None None None None None None None None None None None None None
 None array([641.10713709, 190.75865587]) None None None None None None
 None None None None None None None None None
 array([324.9281676, 338.5757242]) None
 array([301.86283946, 374.22456002]) array([866.66495   , 321.25938324])
 array([419.26946269, 314.14073008]) array([912.88305778, 422.13199617])
 array([373.44067847, 409.42756182]) None
 array([301.68807399, 355.54887788]) array([639.33037698, 301.37773476])
 array([637.08440513, 441.20940726]) array([638.35551521, 362.07170368])
 None None None None None None None None None None None None None None]",188,False
"[None None None None None None None None None None None None None None
 None None array([891.8310582 , 367.09976393])
 array([356.37323245, 177.35616044]) None
 array([668.77115804, 156.24686965]) None
 array([690.77244262, 196.59624175]) None
 array([797.30379769, 186.82248685]) array([876.44991432, 144.98327866])
 None array([873.34502023, 204.9113343 ]) None None
 array([539.47659942, 125.49000554]) None None None None None None None
 None None None None None None None None None None None None None
 array([469.95864399, 256.98434988]) array([660.53681648, 284.76503753])
 array([473.1774249, 218.6823264]) array([453.71054644, 248.88118405])
 array([495.14385721, 265.24999441]) array([688.73587332, 238.65923566])
 array([559.50341649, 249.48394324])]","[None None None None None None None None None None None None None None
 None None array([891.8310582 , 367.09976393])
 array([356.37323245, 177.35616044]) None
 array([668.77115804, 156.24686965]) None
 array([690.77244262, 196.59624175]) None None
 array([876.44991432, 144.98327866]) None
 array([873.34502023, 204.9113343 ]) None None
 array([539.47659942, 125.49000554]) None None None None None None None
 None None None None None None None None None None None None None
 array([469.95864399, 256.98434988]) array([660.53681648, 284.76503753])
 array([473.1774249, 218.6823264]) array([453.71054644, 248.88118405])
 array([495.14385721, 265.24999441]) array([688.73587332, 238.65923566])
 array([559.50341649, 249.48394324])]",189,False
"[array([220.04658247, 189.91941347]) array([344.40001489, 168.21749031])
 array([222.40887583, 257.65634405]) array([345.93391117, 230.34826005])
 array([250.38677586, 296.41250376]) array([532.74818688, 224.81218709])
 array([117.17642829, 280.92042578]) array([422.91240041, 213.33037339])
 array([317.30895128, 402.31517418]) array([915.11645103, 211.27294066])
 None array([560.55470155, 182.90133922]) None
 array([703.59748503, 151.27840273]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([778.5522658 , 297.54591814]) array([570.28530194, 321.47114483])
 array([772.8709836 , 256.73053666]) array([795.511993, 289.558856])
 array([748.85932864, 305.97313096]) array([538.21076237, 271.44763053])
 array([679.10601402, 286.74721361]) None None None None None None None]","[array([220.04658247, 189.91941347]) array([344.40001489, 168.21749031])
 array([222.40887583, 257.65634405]) array([345.93391117, 230.34826005])
 array([250.38677586, 296.41250376]) array([532.74818688, 224.81218709])
 array([117.17642829, 280.92042578]) array([422.91240041, 213.33037339])
 array([317.30895128, 402.31517418]) array([915.11645103, 211.27294066])
 None array([560.55470155, 182.90133922]) None
 array([703.59748503, 151.27840273]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([778.5522658 , 297.54591814]) array([570.28530194, 321.47114483])
 array([772.8709836 , 256.73053666]) array([795.511993, 289.558856])
 array([748.85932864, 305.97313096]) array([538.21076237, 271.44763053])
 array([679.10601402, 286.74721361]) None None None None None None None]",190,False
"[array([107.79249008, 224.07781852]) array([154.92554287, 185.40905065])
 array([113.55941597, 304.55751463]) array([160.59771982, 257.19278277])
 array([273.70827314, 349.45233752]) array([342.78427262, 232.50485256])
 array([ 70.23302781, 348.18457152]) array([187.16094158, 230.44522231])
 array([693.84027081, 463.0343271 ]) array([645.55223207, 184.29803771])
 None array([235.74135384, 181.52768037]) None
 array([279.7421279, 137.2215576]) None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None array([778.82390537, 285.800838  ])
 array([671.96733621, 336.77571759]) array([655.67050589, 242.70442932])
 array([773.91702003, 274.5774045 ]) array([783.55812346, 297.43423726])
 array([487.88479211, 283.71020801]) array([662.85577941, 284.96751435])
 None None None None None None None]","[array([107.79249008, 224.07781852]) array([154.92554287, 185.40905065])
 array([113.55941597, 304.55751463]) array([160.59771982, 257.19278277])
 array([273.70827314, 349.45233752]) array([342.78427262, 232.50485256])
 array([ 70.23302781, 348.18457152]) array([187.16094158, 230.44522231])
 array([693.84027081, 463.0343271 ]) array([645.55223207, 184.29803771])
 None array([235.74135384, 181.52768037]) None
 array([279.7421279, 137.2215576]) None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None array([778.82390537, 285.800838  ])
 array([671.96733621, 336.77571759]) array([655.67050589, 242.70442932])
 array([773.91702003, 274.5774045 ]) array([783.55812346, 297.43423726])
 array([487.88479211, 283.71020801]) array([662.85577941, 284.96751435])
 None None None None None None None]",191,False
"[array([670.11050312, 258.04563769]) array([155.7450053 , 267.11249305])
 array([661.48986562, 412.95784836]) array([162.84109149, 423.82912793])
 array([941.68668247, 287.22333384]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None array([358.57953634,  74.29418115])
 array([725.6412639 , 114.96456501]) None
 array([278.83541305,  77.12658979]) array([438.59064198,  75.21338981])
 array([378.66715774, 199.42553467]) array([365.8668082 , 119.68861453])
 None None None None None None None]","[array([670.11050312, 258.04563769]) array([155.7450053 , 267.11249305])
 array([661.48986562, 412.95784836]) array([162.84109149, 423.82912793])
 array([941.68668247, 287.22333384]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None array([358.57953634,  74.29418115])
 array([725.6412639 , 114.96456501]) None None
 array([438.59064198,  75.21338981]) array([378.66715774, 199.42553467])
 array([365.8668082 , 119.68861453]) None None None None None None None]",192,False
"[None None None None None None None None None None None None None None
 None None array([782.08278487, 347.34885524])
 array([280.42817217, 173.86276532]) None
 array([573.58018058, 154.09732821]) array([848.16012459, 257.14729429])
 array([596.95678611, 190.47851063]) None
 array([693.9417778 , 182.14256058]) array([764.69946509, 143.07657092])
 array([875.66253658, 163.19250046]) array([762.32236826, 198.07579504])
 array([872.65911072, 223.78515461]) None
 array([450.99930724, 125.53498643]) None None None None None None None
 None None None None None None None None None None None None None
 array([389.31198443, 247.44937299]) array([563.84773363, 271.87711679])
 array([394.16115977, 213.19478942]) array([375.7381273 , 241.15907955])
 array([416.94816857, 256.97649648]) array([591.70631855, 229.96473282])
 array([471.89188534, 240.31537955])]","[None None None None None None None None None None None None None None
 None None array([782.08278487, 347.34885524])
 array([280.42817217, 173.86276532]) None
 array([573.58018058, 154.09732821]) array([848.16012459, 257.14729429])
 array([596.95678611, 190.47851063]) None
 array([693.9417778 , 182.14256058]) array([764.69946509, 143.07657092])
 array([875.66253658, 163.19250046]) array([762.32236826, 198.07579504])
 array([872.65911072, 223.78515461]) None
 array([450.99930724, 125.53498643]) None None None None None None None
 None None None None None None None None None None None None None
 array([389.31198443, 247.44937299]) array([563.84773363, 271.87711679])
 array([394.16115977, 213.19478942]) array([375.7381273 , 241.15907955])
 array([416.94816857, 256.97649648]) None
 array([471.89188534, 240.31537955])]",193,False
"[None None None None None None None None None None None None None None
 None None array([714.7287551 , 423.63810845])
 array([123.91153329, 225.19682037]) None
 array([476.4377657 , 200.94155995]) array([788.88042966, 318.59324879])
 array([501.12589036, 242.72965097]) array([921.45913077, 303.46407797])
 array([617.09663328, 233.34607447]) array([693.0464323 , 186.51571962])
 array([818.38410012, 210.50581307]) array([691.36966558, 250.45684462])
 array([816.41400735, 279.26413746]) None
 array([328.49924852, 166.85998436]) None None None None None None None
 None None None None None None None None None None None None None
 array([255.7872771 , 312.66490088]) array([462.79536318, 339.01974433])
 array([262.3088728 , 271.68115648]) array([240.73187908, 304.64709111])
 array([285.41991444, 321.18757913]) array([498.12977247, 289.43978725])
 array([356.06559426, 303.05463708])]","[None None None None None None None None None None None None None None
 None None array([714.7287551 , 423.63810845])
 array([123.91153329, 225.19682037]) None
 array([476.4377657 , 200.94155995]) array([788.88042966, 318.59324879])
 array([501.12589036, 242.72965097]) array([921.45913077, 303.46407797])
 array([617.09663328, 233.34607447]) array([693.0464323 , 186.51571962])
 array([818.38410012, 210.50581307]) array([691.36966558, 250.45684462])
 array([816.41400735, 279.26413746]) None
 array([328.49924852, 166.85998436]) None None None None None None None
 None None None None None None None None None None None None None
 array([255.7872771 , 312.66490088]) array([462.79536318, 339.01974433])
 array([262.3088728 , 271.68115648]) array([240.73187908, 304.64709111])
 array([285.41991444, 321.18757913]) array([498.12977247, 289.43978725])
 None]",194,False
"[None None None None None None None None None None None None None None
 None None None None None None array([185.46434067, 223.29389321]) None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None]","[None None None None None None None None None None None None None None
 None None None None None None array([185.46434067, 223.29389321]) None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None]",195,True
"[None None None None None None None None
 array([743.31493075, 237.10044145]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None array([888.89103649, 290.67542953]) None
 array([862.98636643, 327.18965616]) None None None None None None None
 None None]","[None None None None None None None None
 array([743.31493075, 237.10044145]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None array([888.89103649, 290.67542953]) None
 array([862.98636643, 327.18965616]) None None None None None None None
 None None]",196,False
"[None None None None None None None None None None None None None None
 None None array([795.11464204, 471.9897816 ])
 array([144.47791737, 249.20568736]) None
 array([528.75462804, 221.31985467]) array([881.34113078, 354.50645196])
 array([554.75558657, 268.55721026]) None
 array([682.95744632, 257.38676261]) array([769.71337491, 207.51290986])
 array([911.65798886, 233.38895259]) array([768.48715304, 277.39153356])
 array([908.79303463, 310.20804995]) None
 array([368.35890911, 183.8044727 ]) None None None None None None None
 None None None None None None None None None None None None None
 array([285.06864306, 344.6330016 ]) array([513.47121805, 375.55244148])
 array([291.22311125, 299.45261297]) array([266.71534833, 335.47761818])
 array([314.06347703, 353.48221862]) array([550.89155987, 320.36225137])
 array([394.11765596, 334.67636811])]","[None None None None None None None None None None None None None None
 None None array([795.11464204, 471.9897816 ])
 array([144.47791737, 249.20568736]) None
 array([528.75462804, 221.31985467]) array([881.34113078, 354.50645196])
 array([554.75558657, 268.55721026]) None
 array([682.95744632, 257.38676261]) array([769.71337491, 207.51290986])
 array([911.65798886, 233.38895259]) array([768.48715304, 277.39153356])
 array([908.79303463, 310.20804995]) None
 array([368.35890911, 183.8044727 ]) None None None None None None None
 None None None None None None None None None None None None None
 array([285.06864306, 344.6330016 ]) array([513.47121805, 375.55244148])
 array([291.22311125, 299.45261297]) array([266.71534833, 335.47761818])
 array([314.06347703, 353.48221862]) array([550.89155987, 320.36225137])
 None]",197,False
"[array([435.01502037, 332.97145957]) array([ 62.30871418, 342.6755929 ])
 array([435.01502037, 447.51626943]) array([ 68.54120465, 456.79252424])
 array([645.91508094, 353.14897852]) None
 array([688.55872299, 441.09852309]) None None None None None None None
 None None None None None None None None None None None None None None
 None None array([264.20497943,  13.00407216])
 array([247.0497741 ,  72.80613361]) array([357.21128288,  13.53992099])
 array([359.9580782 ,  72.89920565]) array([183.66203519,  19.29730567])
 array([158.91215871,  63.27735244]) array([433.92129803,  20.60049977])
 array([447.41026811,  63.73839567]) array([310.99932417,  12.33563718])
 array([303.60171914,  74.24305422]) array([114.48717659,  40.32489916])
 array([494.44891012,  41.30290574]) array([307.67057626,  40.19251575])
 array([287.63860374, 207.83159258]) array([529.91385088, 233.64078692])
 array([ 28.46879737, 242.05282875]) array([232.5191018 , 209.68669748])
 array([341.95676191, 208.54361583]) array([277.26590979, 294.63626629])
 array([283.91122763, 239.02442138]) None None None None None None None]","[array([435.01502037, 332.97145957]) array([ 62.30871418, 342.6755929 ])
 array([435.01502037, 447.51626943]) array([ 68.54120465, 456.79252424])
 array([645.91508094, 353.14897852]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None array([264.20497943,  13.00407216])
 array([247.0497741 ,  72.80613361]) array([357.21128288,  13.53992099])
 array([359.9580782 ,  72.89920565]) array([183.66203519,  19.29730567])
 array([158.91215871,  63.27735244]) array([433.92129803,  20.60049977])
 array([447.41026811,  63.73839567]) array([310.99932417,  12.33563718])
 array([303.60171914,  74.24305422]) array([114.48717659,  40.32489916])
 array([494.44891012,  41.30290574]) array([307.67057626,  40.19251575])
 array([287.63860374, 207.83159258]) array([529.91385088, 233.64078692])
 array([ 28.46879737, 242.05282875]) array([232.5191018 , 209.68669748])
 array([341.95676191, 208.54361583]) array([277.26590979, 294.63626629])
 array([283.91122763, 239.02442138]) None None None None None None None]",198,True
"[None None None None None None None None None None None None None None
 None None None None None None None None None None None None
 array([360.61184977, 372.14509195]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None]","[None None None None None None None None None None None None None None
 None None None None None None None None None None None None
 array([360.61184977, 372.14509195]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None]",199,False
"[array([ 82.08312677, 222.83069546]) array([225.19806482, 197.12486916])
 array([ 84.86123257, 300.24662593]) array([227.94746201, 267.9854701 ])
 array([114.18403924, 344.54451676]) array([439.19845934, 260.30615229])
 None array([317.32038343, 247.83486751])
 array([195.48136512, 463.74467691]) array([862.05458645, 243.75720154])
 None array([472.22711801, 212.90858339]) None
 array([634.07104714, 176.41819408]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([713.30046532, 340.20540972]) array([482.66380497, 368.96658219])
 array([706.52795057, 295.08526406]) array([732.0662484 , 331.26006063])
 array([682.14343568, 349.46881529]) array([446.72229709, 313.04001869])
 array([603.82684285, 329.04960584]) None None None None None None None]","[array([ 82.08312677, 222.83069546]) array([225.19806482, 197.12486916])
 array([ 84.86123257, 300.24662593]) array([227.94746201, 267.9854701 ])
 array([114.18403924, 344.54451676]) array([439.19845934, 260.30615229])
 None array([317.32038343, 247.83486751])
 array([195.48136512, 463.74467691]) array([862.05458645, 243.75720154])
 None array([472.22711801, 212.90858339]) None
 array([634.07104714, 176.41819408]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([713.30046532, 340.20540972]) array([482.66380497, 368.96658219])
 array([706.52795057, 295.08526406]) array([732.0662484 , 331.26006063])
 array([682.14343568, 349.46881529]) array([446.72229709, 313.04001869])
 array([603.82684285, 329.04960584]) None None None None None None None]",200,False
"[None array([827.51389158, 393.39607845]) None None None
 array([527.2577139 , 404.70975498]) None
 array([462.70694298, 520.29056414]) None
 array([133.62532426, 212.5797165 ]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None array([836.64835435,  12.63147884]) None None None
 None None None None None array([744.32333642, 249.00199074])
 array([710.1696703 , 247.18760468]) array([957.08495216, 218.86625685])
 None None None None None None None None None None]","[None array([827.51389158, 393.39607845]) None None None
 array([527.2577139 , 404.70975498]) None None None
 array([133.62532426, 212.5797165 ]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None array([836.64835435,  12.63147884]) None None None
 None None None None None array([744.32333642, 249.00199074])
 array([710.1696703 , 247.18760468]) array([957.08495216, 218.86625685])
 None None None None None None None None None None]",201,False
"[None None None None None array([128.42115216, 237.25936596]) None None
 None array([576.52737416, 220.67506131]) None
 array([186.54531548, 193.01187533]) None
 array([375.02593219, 160.36773366]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([370.13616226, 317.77293277]) array([ 85.16357899, 352.27911586])
 array([391.46409838, 270.32854247]) array([396.84337211, 308.13028971])
 array([330.98530905, 327.36960513]) array([ 89.46239516, 291.36436654])
 array([254.45919512, 306.88889869]) None None None None None None None]","[None None None None None None None None None
 array([576.52737416, 220.67506131]) None
 array([186.54531548, 193.01187533]) None
 array([375.02593219, 160.36773366]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([370.13616226, 317.77293277]) array([ 85.16357899, 352.27911586])
 array([391.46409838, 270.32854247]) array([396.84337211, 308.13028971])
 array([330.98530905, 327.36960513]) None
 array([254.45919512, 306.88889869]) None None None None None None None]",202,False
"[None None None None array([ 53.71661435, 499.5397365 ])
 array([186.77134898, 226.35436933]) None None None
 array([596.43830353, 116.99053979]) None
 array([ 59.20765663, 106.87476914]) None
 array([128.85338038,   2.33066049]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([726.24502878, 355.97127083]) array([566.83161656, 471.94303928])
 array([584.82792023, 255.57736405]) array([720.53388425, 331.46253448])
 array([720.80503657, 381.52505652]) array([352.86860422, 350.02202785])
 array([577.62939952, 353.60328391]) None None None None None None None]","[None None None None array([ 53.71661435, 499.5397365 ])
 array([186.77134898, 226.35436933]) None None None
 array([596.43830353, 116.99053979]) None
 array([ 59.20765663, 106.87476914]) None
 array([128.85338038,   2.33066049]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([726.24502878, 355.97127083]) array([566.83161656, 471.94303928])
 array([584.82792023, 255.57736405]) array([720.53388425, 331.46253448])
 array([720.80503657, 381.52505652]) array([352.86860422, 350.02202785])
 array([577.62939952, 353.60328391]) None None None None None None None]",203,False
"[None None None None None None None None None None None None None None
 None None array([733.19017236, 434.15050498]) None None
 array([286.57089546, 210.73034442]) array([707.73861981, 318.19090008])
 array([341.66701096, 250.13029191]) array([826.76631539, 301.10814315])
 array([454.56288659, 238.83637014]) array([550.25281609, 187.63629713])
 array([701.6723216 , 206.73820367]) array([549.11928236, 254.65619865])
 array([699.42138367, 279.80260412]) None
 array([107.06413241, 180.69783118]) None None None None None None None
 None None None None None None None None None None None None None
 array([117.68670967, 327.05657939]) array([380.23298189, 349.55952453])
 array([ 97.88780005, 284.23677663]) array([ 91.23019214, 318.33816947])
 array([153.85880681, 334.54227916]) array([374.39117121, 296.61244243])
 array([226.48864104, 314.15309933])]","[None None None None None None None None None None None None None None
 None None array([733.19017236, 434.15050498]) None None
 array([286.57089546, 210.73034442]) array([707.73861981, 318.19090008])
 array([341.66701096, 250.13029191]) array([826.76631539, 301.10814315])
 array([454.56288659, 238.83637014]) array([550.25281609, 187.63629713])
 array([701.6723216 , 206.73820367]) array([549.11928236, 254.65619865])
 array([699.42138367, 279.80260412]) None
 array([107.06413241, 180.69783118]) None None None None None None None
 None None None None None None None None None None None None None
 array([117.68670967, 327.05657939]) array([380.23298189, 349.55952453])
 array([ 97.88780005, 284.23677663]) array([ 91.23019214, 318.33816947])
 array([153.85880681, 334.54227916]) array([374.39117121, 296.61244243])
 array([226.48864104, 314.15309933])]",204,False
"[array([531.95491062, 337.92179865]) None
 array([527.56662419, 482.53140993]) array([  9.76923561, 455.85852234])
 array([874.80816105, 296.5017455 ]) None
 array([913.05193349, 502.38860998]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None]","[array([531.95491062, 337.92179865]) None
 array([527.56662419, 482.53140993]) array([  9.76923561, 455.85852234])
 array([874.80816105, 296.5017455 ]) None
 array([913.05193349, 502.38860998]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None]",205,False
"[None None None None None array([ 54.53777121, 206.91455097]) None None
 None array([474.54267149, 190.76466178]) None
 array([112.95134795, 165.53412789]) None
 array([288.88905084, 135.89102477]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([284.07368787, 281.5722301 ]) array([ 21.4365657, 313.114933 ])
 array([303.97933699, 236.86472756]) array([310.06175934, 271.74523759])
 array([246.35776182, 291.10478372]) array([ 12.74022463, 257.78248076])
 array([172.87927284, 271.82301882]) None None None None None None None]","[None None None None None None None None None
 array([474.54267149, 190.76466178]) None
 array([112.95134795, 165.53412789]) None
 array([288.88905084, 135.89102477]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([284.07368787, 281.5722301 ]) array([ 21.4365657, 313.114933 ])
 array([303.97933699, 236.86472756]) array([310.06175934, 271.74523759])
 array([246.35776182, 291.10478372]) None
 array([172.87927284, 271.82301882]) None None None None None None None]",206,False
"[None array([ 22.00083049, 249.87527734]) None
 array([ 26.6941397 , 311.30433945]) array([107.06692365, 446.47274021])
 array([191.84543257, 266.02899608]) None
 array([ 56.68497475, 266.075077  ]) None
 array([459.52959311, 190.44149319]) None
 array([107.52065244, 189.40964888]) None
 array([155.46155952, 117.10983244]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([546.54263566, 344.13328728]) array([444.16800419, 421.73131261])
 array([453.56245672, 280.53298036]) array([541.71562695, 328.41834515])
 array([543.33579389, 360.7789734 ]) array([302.48889662, 344.8250966 ])
 array([449.64182171, 344.40796812]) None None None None None None None]","[None array([ 22.00083049, 249.87527734]) None
 array([ 26.6941397 , 311.30433945]) array([107.06692365, 446.47274021])
 array([191.84543257, 266.02899608]) None
 array([ 56.68497475, 266.075077  ]) None
 array([459.52959311, 190.44149319]) None
 array([107.52065244, 189.40964888]) None
 array([155.46155952, 117.10983244]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([546.54263566, 344.13328728]) array([444.16800419, 421.73131261])
 array([453.56245672, 280.53298036]) array([541.71562695, 328.41834515])
 array([543.33579389, 360.7789734 ]) array([302.48889662, 344.8250966 ])
 array([449.64182171, 344.40796812]) None None None None None None None]",207,False
"[array([ 17.55359007, 172.87928022]) array([182.47759084, 153.62255949])
 array([ 20.96036251, 250.99536871]) array([184.08889409, 223.72000469])
 array([ 18.52453596, 289.42935291]) array([399.80689768, 218.81222848])
 None array([280.97152459, 207.52106641]) None
 array([810.48028341, 207.58709364]) None
 array([452.93915811, 178.76778972]) None
 array([627.85521237, 149.52153214]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([614.43423668, 294.02778718]) array([362.49378663, 319.76408612])
 array([635.49552659, 251.54609931]) array([638.64721028, 286.75153044])
 array([578.90799759, 301.91170201]) array([365.89911021, 266.09821627])
 array([511.50220494, 282.46061951]) None None None None None None None]","[array([ 17.55359007, 172.87928022]) array([182.47759084, 153.62255949])
 array([ 20.96036251, 250.99536871]) array([184.08889409, 223.72000469])
 array([ 18.52453596, 289.42935291]) array([399.80689768, 218.81222848])
 None array([280.97152459, 207.52106641]) None
 array([810.48028341, 207.58709364]) None
 array([452.93915811, 178.76778972]) None
 array([627.85521237, 149.52153214]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([614.43423668, 294.02778718]) array([362.49378663, 319.76408612])
 array([635.49552659, 251.54609931]) array([638.64721028, 286.75153044])
 None array([365.89911021, 266.09821627])
 array([511.50220494, 282.46061951]) None None None None None None None]",208,False
"[None array([137.75747855,  41.63104988]) None
 array([137.75747855, 127.34715706]) None
 array([400.62330733, 127.26982113]) None
 array([270.26352055,  96.83944284]) None
 array([934.28790654, 122.64810515]) None
 array([511.35616462,  41.33114017]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None
 array([577.67544602, 285.67926565]) array([270.12989167, 316.49956935])
 array([650.54372797, 205.46943108]) array([616.75503213, 271.26853262])
 array([528.32494029, 298.03282433]) array([318.06521871, 219.35694361])
 array([470.24556035, 258.23427803]) None None None None None None None]","[None array([137.75747855,  41.63104988]) None
 array([137.75747855, 127.34715706]) None
 array([400.62330733, 127.26982113]) None
 array([270.26352055,  96.83944284]) None
 array([934.28790654, 122.64810515]) None
 array([511.35616462,  41.33114017]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None
 array([577.67544602, 285.67926565]) array([270.12989167, 316.49956935])
 array([650.54372797, 205.46943108]) array([616.75503213, 271.26853262])
 array([528.32494029, 298.03282433]) array([318.06521871, 219.35694361])
 array([470.24556035, 258.23427803]) None None None None None None None]",209,False
"[None None None None None array([255.89353218, 279.60852736]) None
 array([119.73043331, 268.46423162]) None
 array([716.33225265, 264.51909561]) None
 array([316.06917629, 234.04821609]) None
 array([507.54482001, 200.48464822]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([500.51368138, 364.28140294]) array([209.60971146, 397.20526513])
 array([521.80580634, 315.25901526]) array([528.96440972, 354.3987687 ])
 array([460.1066958 , 373.92790376]) array([215.15426308, 334.81105775])
 array([382.13145253, 352.05553996]) None None None None None None None]","[None None None None None None None array([119.73043331, 268.46423162])
 None array([716.33225265, 264.51909561]) None
 array([316.06917629, 234.04821609]) None
 array([507.54482001, 200.48464822]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([500.51368138, 364.28140294]) array([209.60971146, 397.20526513])
 array([521.80580634, 315.25901526]) array([528.96440972, 354.3987687 ])
 array([460.1066958 , 373.92790376]) array([215.15426308, 334.81105775])
 array([382.13145253, 352.05553996]) None None None None None None None]",210,False
"[None None None None None None None None None None None None None None
 None None None None array([893.02332875, 167.09408431]) None
 array([148.09291315, 225.86896433]) None
 array([132.82165208, 173.15218168]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None]","[None None None None None None None None None None None None None None
 None None None None array([893.02332875, 167.09408431]) None
 array([148.09291315, 225.86896433]) None
 array([132.82165208, 173.15218168]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None]",211,False
"[array([ 65.73866847, 333.47650201]) array([124.31189712, 257.72591966])
 array([ 69.63430015, 410.96496175]) array([127.80291362, 326.16687539])
 array([212.71475804, 484.46638271]) array([312.07148793, 279.92800461])
 array([ 19.36466159, 484.24793856]) array([161.70591018, 276.74315599])
 None array([623.84365081, 198.83748324]) None
 array([221.07921603, 190.18887153]) None
 array([277.58435414, 107.81579618]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([723.18348119, 382.37107304]) array([599.52654386, 470.51692027])
 array([614.70186866, 304.01917098]) array([718.77746496, 364.20193479])
 array([718.96100362, 402.02441504]) array([437.38607059, 374.97619045])
 array([608.59574277, 379.40616559]) None None None None None None None]","[array([ 65.73866847, 333.47650201]) array([124.31189712, 257.72591966])
 array([ 69.63430015, 410.96496175]) array([127.80291362, 326.16687539])
 array([212.71475804, 484.46638271]) None
 array([ 19.36466159, 484.24793856]) array([161.70591018, 276.74315599])
 None array([623.84365081, 198.83748324]) None
 array([221.07921603, 190.18887153]) None
 array([277.58435414, 107.81579618]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([723.18348119, 382.37107304]) array([599.52654386, 470.51692027])
 array([614.70186866, 304.01917098]) array([718.77746496, 364.20193479])
 array([718.96100362, 402.02441504]) array([437.38607059, 374.97619045])
 array([608.59574277, 379.40616559]) None None None None None None None]",212,False
